,speaker,text,timestamp,clean_text,target
0,Lex Fridman," The following is a conversation with Joscha Bach, VP of research at the AI Foundation, with a history of research positions at MIT and Harvard. Joscha is one of the most unique and brilliant people in the artificial intelligence community, exploring the workings of the human mind, intelligence, consciousness, life on Earth, and the (possibly simulated) fabric of our universe. I could see myself talking to Joscha many times in the future.",1900-01-01 00:00:00,following conversation joscha bach vp research ai foundation history research position mit harvard joscha one unique brilliant people artificial intelligence community exploring working human mind intelligence consciousness life earth possibly simulated fabric universe could see talking joscha many time future,1
1,Lex Fridman," Quick summary of the ads: two sponsors ExpressVPN and Cash app. Please consider supporting the podcast by signing up at expressvpn.com/lexpod and downloading Cash app and using code LexPodcast. This is the Artificial Intelligence podcast. If you enjoy it, subscribe on YouTube, review it with five stars on Apple podcast, support it on Patreon, or simply connect with me on Twitter @LexFridman. Since this comes up more often than I ever would have imagined, I challenge you to try to figure out how to spell my last name without using the letter E, and it'll probably be the correct way. As usual, I'll do a few minutes of ads now and never any ads in the middle that could break the flow of the conversation.",1900-01-01 00:00:29,quick summary ad two sponsor expressvpn cash app please consider supporting podcast signing expressvpn com lexpod downloading cash app using code lexpodcast artificial intelligence podcast enjoy subscribe youtube review five star apple podcast support patreon simply connect twitter since come often ever would imagined challenge try figure spell last name without using letter e probably correct way usual minute ad never ad middle could break flow conversation,1
2,Lex Fridman," This show is sponsored by ExpressVPN. Get it at expressvpn.com/lexpod to support this podcast and to get an extra three months free on a one year package. I've been using ExpressVPN for many years. I love it. I think Express VPN is the best VPN out there. They told me to say it, but I think it actually happens to be true. It doesn't log your data, it's crazy fast, and it's easy to use. Literally just one big power on button. Again, for obvious reasons, it's really important that they don't log your data. It works on Linux and everywhere else, too. Shout out to my favorite flavor of Linux, Ubuntu Mate 20.04. Once again get it at expressvpn.com/lexpod to support this podcast and to get an extra three months free on a one-year package.",1900-01-01 00:01:18,show sponsored expressvpn get expressvpn com lexpod support podcast get extra three month free one year package using expressvpn many year love think express vpn best vpn told say think actually happens true log data crazy fast easy use literally one big power button obvious reason really important log data work linux everywhere else shout favorite flavor linux ubuntu mate get expressvpn com lexpod support podcast get extra three month free one year package,1
3,Lex Fridman," This show is presented by Cash App, the number one finance app in the App Store. When you get it, use code LexPodcast. Cash App lets you send money to friends, buy Bitcoin, and invest in the stock market with as little as one dollar. Since Cash App does fractional share trading, let me mention that the order execution algorithm that works behind the scenes to create the abstraction of the fractional orders is an algorithmic marvel. So big props to the Cash App engineers for taking a step up to the next layer of abstraction over the stock market, making trading more accessible for new investors and diversification much easier. So, again, if you get Cash App from the App Store or Google Play and use the code LexPodcast, you get ten dollars, and Cash App will also donate ten dollars to First, an organization that is helping advance robotics and STEM education for young people around the world.",1900-01-01 00:02:14,show presented cash app number one finance app app store get use code lexpodcast cash app let send money friend buy bitcoin invest stock market little one dollar since cash app fractional share trading let mention order execution algorithm work behind scene create abstraction fractional order algorithmic marvel big prop cash app engineer taking step next layer abstraction stock market making trading accessible new investor diversification much easier get cash app app store google play use code lexpodcast get ten dollar cash app also donate ten dollar first organization helping advance robotics stem education young people around world,1
4,Lex Fridman," And now, here's my conversation with Joscha Bach.",1900-01-01 00:03:09,conversation joscha bach,1
5,Lex Fridman," As you've said, you grew up in a forest in East Germany (this is what we were talking about off-mic) to parents who were artists. And now I think, at least to me, you've become one of the most unique thinkers in the AI world. So can we try to reverse-engineer your mind a little bit? What were the key philosophers, scientists, ideas, maybe even movies, or just realizations that had an impact on you when you were growing up that kind of led to the trajectory or were the key sort of crossroads in the trajectory of your intellectual development?",1900-01-01 00:03:31,said grew forest east germany talking mic parent artist think least become one unique thinker ai world try reverse engineer mind little bit key philosopher scientist idea maybe even movie realization impact growing kind led trajectory key sort crossroad trajectory intellectual development,1
6,Guest," My father came from a long tradition of architects, a distant branch of the Bach family, and so basically he was technically a nerd, and nerds need to interface in society with non-standard ways. Sometimes I define a nerd as somebody who thinks that the purpose of communication is to submit your ideas to peer review. And normal people understand that the primary purpose of communication is to negotiate alignment, and these purposes tend to conflict, which means that nerds have to learn how to interact with society at large.",1900-01-01 00:04:06,father came long tradition architect distant branch bach family basically technically nerd nerd need interface society non standard way sometimes define nerd somebody think purpose communication submit idea peer review normal people understand primary purpose communication negotiate alignment purpose tend conflict mean nerd learn interact society large,0
7,Lex Fridman, Who is the reviewer in the nerds' view of communication?,1900-01-01 00:04:43,reviewer nerd view communication,1
8,Guest," Everybody who you consider to be a peer, so whatever hapless individual is around, well, you would try to make him or her the gift of information.",1900-01-01 00:04:48,everybody consider peer whatever hapless individual around well would try make gift information,0
9,Lex Fridman," Okay, so you're not, by the way, my research, well, mal-informed me. So your... architect or artist?",1900-01-01 00:04:59,okay way research well mal informed architect artist,1
10,Guest," He did study architecture, but, basically my grandfather made the wrong decision; he married an aristocrat and was drawn into into the war and he came back after 15 years. So basically, my father was not, parented by a nerd, but by somebody who tried to tell him what to do and expected him to do what he was told and he was unable to. He is unable to do things if he's not intrinsically motivated, so in some sense, my grandmother broke her son and her son responded by—when he became an architect—to become an artist. So he built Hundertwasser architecture. He built houses without right angles. He built lots of things that didn't work in the more Brutalist traditions of Eastern Germany. And so he bought an old watermill and moved out of the countryside and did only what he wanted to do, which was art. Eastern Germany was perfect for Boheme because you had complete material safety; food was heavily subsidized, healthcare was free—you didn't have to worry about rent or pensions or anything, so—",1900-01-01 00:05:07,study architecture basically grandfather made wrong decision married aristocrat drawn war came back year basically father parented nerd somebody tried tell expected told unable unable thing intrinsically motivated sense grandmother broke son son responded bywhen became architectto become artist built hundertwasser architecture built house without right angle built lot thing work brutalist tradition eastern germany bought old watermill moved countryside wanted art eastern germany perfect boheme complete material safety food heavily subsidized healthcare freeyou worry rent pension anything,0
11,Lex Fridman, So it was the socialized communist side of Germany—,1900-01-01 00:06:13,socialized communist side germany,1
12,Guest," Yes and the other thing is it was almost impossible not to be in political disagreement with your government, which is very productive for artists, so everything that you do is intrinsically meaningful because it will always touch on the deeper currents of society—of culture—and be in conflict with it, and tangent with it, and you will always have to define yourself with respect to this.",1900-01-01 00:06:15,yes thing almost impossible political disagreement government productive artist everything intrinsically meaningful always touch deeper current societyof cultureand conflict tangent always define respect,0
13,Lex Fridman," So what impact did your father, this... outside of the box thinker—against the government, against the world—artist, have in affecting your life?",1900-01-01 00:06:34,impact father outside box thinkeragainst government worldartist affecting life,1
14,Guest," He was actually not a thinker—he was somebody who only got self-aware to the degree that he needed to make himself functional. So in some sense, it was also in the late 1960s, and he was in some sense a hippie, so he became a one-person cult. He lived out there in his kingdom, he built big sculpture gardens and started many avenues of art and so on, and convinced a woman to live with him—she was also an architect—and she adored him and decided to share her life with him, and I basically grew up in a big cave full of books; I'm almost feral... and I was bored out there; it was very, very beautiful, very quiet, and quite lonely, so I started to read and by the time I came to school, I read everything until fourth grade and then some, and there was not a real way for me to relate to the outside world, and... I couldn't quite put my finger on why and today I know it was because I was nerd, obviously, and I was the only nerd around, so there were no other kids like me and there was nobody interested in physics or computing or mathematics and so on. And this village school that I went to was basically a nice school. Kids were nice to me. I was not beaten up, but I also didn't make many friends or build deep relationships; that only happened starting from ninth grade when I went to a school for mathematics and physics.",1900-01-01 00:06:43,actually thinkerhe somebody got self aware degree needed make functional sense also late sense hippie became one person cult lived kingdom built big sculpture garden started many avenue art convinced woman live himshe also architectand adored decided share life basically grew big cave full book almost feral bored beautiful quiet quite lonely started read time came school read everything fourth grade real way relate outside world quite put finger today know nerd obviously nerd around kid like nobody interested physic computing mathematics village school went basically nice school kid nice beaten also make many friend build deep relationship happened starting ninth grade went school mathematics physic,0
15,Lex Fridman, Do you remember any key books from this moment?,1900-01-01 00:08:06,remember key book moment,1
16,Guest," Yes, I basically read everything. So I went to the library and I worked my way through the children's and young adult sections and then I read a lot of science fiction. For instance, Stalislaw Lem, basically the great author of cybernetics, has influenced me. Back then, I didn't see him as a big influence because everything that he wrote seemed to be so natural to me. It's only later that I contrasted it with what other people wrote.",1900-01-01 00:08:08,yes basically read everything went library worked way child young adult section read lot science fiction instance stalislaw lem basically great author cybernetics influenced back see big influence everything wrote seemed natural later contrasted people wrote,0
17,Guest," Another thing that was very influential on me, were the classical philosophers and also the teacher of romanticism. So German poetry and art and Droste-Hülshoff and Heine and up to Hesse and so on.",1900-01-01 00:08:32,another thing influential classical philosopher also teacher romanticism german poetry art droste hlshoff heine hesse,0
18,Lex Fridman," Hesse, I love Hesse. So at which point did the classical philosophers end? At this point or in the 21st century, what's what's the latest classical philosopher? Does this stretch through even as far as Nietzsche or is this -are we talking about Plato and Aristotle?",1900-01-01 00:08:48,hesse love hesse point classical philosopher end point century latest classical philosopher stretch even far nietzsche talking plato aristotle,1
19,Guest," I think that Nietzsche is the classical equivalent of a shit poster. So he is very smart and easy to read and - yeah, but he's not so much trolling others, he is trolling himself because he was at odds with the world. Largely his romantic relationships didn't work out. He got angry and he basically became a nihilist.",1900-01-01 00:09:02,think nietzsche classical equivalent shit poster smart easy read yeah much trolling others trolling odds world largely romantic relationship work got angry basically became nihilist,0
20,Lex Fridman," And that is that a beautiful way to be as an intellectual is to constantly be trolling yourself to be in that conflict, in that no attention,",1900-01-01 00:09:21,beautiful way intellectual constantly trolling conflict attention,1
21,Guest," I think it's a lack of self-awareness. At some point, you have to understand the comedy of your own situation. If you take yourself seriously and you are not functional, it ends in tragedy, as it did for Nietzsche.",1900-01-01 00:09:32,think lack self awareness point understand comedy situation take seriously functional end tragedy nietzsche,0
22,Lex Fridman," I think, you think he took himself too seriously in that tension",1900-01-01 00:09:42,think think took seriously tension,1
23,Guest," Yeah! And you find the same thing in Hesse and so on, this Steppenwolf syndrome is classic adolescence where you basically feel misunderstood by the world and you don't understand that all the misunderstandings are the result of your own lack of self awareness. Because you think that you are a prototypical human and the others around you should behave the same way as you expect them based on your innate instincts, and it doesn't work out and you become a transcendentalist to deal with that.",1900-01-01 00:09:46,yeah find thing hesse steppenwolf syndrome classic adolescence basically feel misunderstood world understand misunderstanding result lack self awareness think prototypical human others around behave way expect based innate instinct work become transcendentalist deal,0
24,Guest," So it's very, very understandable and have great sympathy for this to the degree that I can have sympathy for my own intellectual history. But you have grow out of it.",1900-01-01 00:10:12,understandable great sympathy degree sympathy intellectual history grow,0
25,Lex Fridman," So as an intellectual, a life well lived, a journey well travelled is one where you don't take yourself seriously from your perspective?",1900-01-01 00:10:21,intellectual life well lived journey well travelled one take seriously perspective,1
26,Guest," No, I think that you are neither serious or not serious yourself because you need to become unimportant as a subject. That is, if you are a philosopher, belief is not a verb. You don't do this for the audience and you don't do it for yourself.",1900-01-01 00:10:28,think neither serious serious need become unimportant subject philosopher belief verb audience,0
27,Guest," You have to submit to the things that are possibly true and you have to follow wherever your enquiry leads, but it's not about you. It has nothing to do with you.",1900-01-01 00:10:44,submit thing possibly true follow wherever enquiry lead nothing,0
